cluster,n_atoms,E_cluster,BE_per_atom
C-187658-4107-130,240,-8.936057364254436,-7.33276642764894
C-187658-4107-131,240,-11.56452861900325,-7.321814464087486
C-187658-4107-132,240,-9.60664008102553,-7.329972332995727
C-187658-4107-133,240,-8.550574769979857,-7.3343726051250835
C-187658-4107-134,240,-10.36178799232932,-7.326825883365294
C-187658-4107-135,240,-9.170222460700822,-7.331790739747079
C-187658-4107-136,240,-8.993915876729842,-7.332525350513625
C-187658-4107-137,240,-8.79049387590701,-7.33337294218372
C-187658-4107-138,240,-8.900743841096501,-7.332913567328764
C-187658-4107-139,240,-8.975660243310875,-7.332601415652872
C-187658-4107-14,240,-8.279211171317748,-7.335503286786176
C-187658-4107-140,240,-8.802745474606674,-7.333321893855806
C-187658-4107-141,240,-8.854810113352872,-7.333104957861029
C-187658-4107-142,240,-8.035368108345011,-7.336519299548562
C-187658-4107-144,240,-9.266948372002178,-7.331387715116658
C-187658-4107-145,240,-8.80272114471388,-7.333321995230359
C-187658-4107-146,240,-8.963788049792198,-7.332650883125866
C-187658-4107-147,240,-8.53231668127032,-7.334448680494707
C-187658-4107-148,240,-8.5382317775838,-7.334424034260067
C-187658-4107-149,240,-8.742313590306246,-7.333573693373724
C-187658-4107-15,240,-8.984396281304011,-7.332565015494566
C-187658-4107-150,240,-9.15361601723147,-7.331859933261535
C-187658-4107-151,240,-8.9778226546267,-7.332592405605722
C-187658-4107-152,240,-8.382554201237578,-7.335072690828176
C-187658-4107-154,240,-11.40641670784855,-7.322473263717297
C-187658-4107-155,240,-8.98439586809454,-7.332565017216273
C-187658-4107-156,240,-14.10762107916102,-7.311218245503496
C-187658-4107-157,240,-8.54970571622862,-7.334376226182381
C-187658-4107-158,240,-8.848840307044215,-7.333129832053983
C-187658-4107-159,240,-8.814442607933044,-7.3332731558002795
C-187658-4107-16,240,-9.865162009083575,-7.328895158295484
C-187658-4107-160,240,-8.802750525857345,-7.333321872808927
C-187658-4107-162,240,-9.169985028361499,-7.3317917290484935
C-187658-4107-163,240,-9.145323391900378,-7.331894485867082
C-187658-4107-164,240,-8.812233486693584,-7.33328236047211
C-187658-4107-165,240,-8.369400804980069,-7.3351274966459155
C-187658-4107-166,240,-8.936063690220912,-7.332766401290746
C-187658-4107-168,240,-8.722355199819637,-7.333656853334085
C-187658-4107-17,240,-8.984380103471041,-7.332565082902204
C-187658-4107-170,240,-8.727305823130722,-7.333636225736955
C-187658-4107-171,240,-8.9843888318471,-7.33256504653397
C-187658-4107-172,240,-8.93607143221884,-7.332766369032422
C-187658-4107-173,240,-8.387961043858695,-7.3350501623172555
C-187658-4107-174,240,-11.06991099551465,-7.323875370852022
C-187658-4107-175,240,-10.68284502258491,-7.32548814573923
C-187658-4107-176,240,-8.44272934320362,-7.334821961069985
C-187658-4107-177,240,-8.820097675074207,-7.333249593020524
C-187658-4107-178,240,-9.298305728254304,-7.3312570594656075
C-187658-4107-179,240,-8.858412356691087,-7.333089948513787
C-187658-4107-18,240,-8.383000012048806,-7.33507083328313
C-187658-4107-180,240,-8.802737954027677,-7.333321925191552
C-187658-4107-182,240,-8.701587562959165,-7.333743385154336
C-187658-4107-183,240,-8.371055159866371,-7.335120603500557
C-187658-4107-184,240,-8.936064487365423,-7.33276639796931
C-187658-4107-185,240,-8.936066692971782,-7.332766388779285
C-187658-4107-186,240,-7.242138151376651,-7.339824424369264
C-187658-4107-188,240,-10.643086174444,-7.325653807606483
C-187658-4107-19,240,-8.819349154912594,-7.333252711854531
C-187658-4107-190,240,-8.361675566523706,-7.335159685139485
C-187658-4107-191,240,-11.08006349468478,-7.323833068772147
C-187658-4107-192,240,-9.108323038079519,-7.332048654008002
C-187658-4107-193,240,-9.122934427629774,-7.331987773218208
C-187658-4107-194,240,-8.372673184459053,-7.33511386173142
C-187658-4107-195,240,-8.66767936600166,-7.333884669308326
C-187658-4107-196,240,-8.975641732225629,-7.332601492782393
C-187658-4107-197,240,-8.379081526110676,-7.3350871603078724
C-187658-4107-198,240,-11.28740546240834,-7.322969143906632
C-187658-4107-199,240,-8.79048278799573,-7.333372988383351
C-187658-4107-2,240,-8.802743596343355,-7.333321901681902
C-187658-4107-20,240,-9.157984553444916,-7.331841731027312
C-187658-4107-200,240,-8.936087861034148,-7.332766300579024
C-187658-4107-201,240,-8.363562726180499,-7.3351518219742475
C-187658-4107-203,240,-8.98440038328771,-7.332564998402968
C-187658-4107-205,240,-8.622715829826586,-7.334072017375722
C-187658-4107-207,240,-8.9843758324321,-7.3325651006982
C-187658-4107-209,240,-8.802720784826459,-7.3333219967298895
C-187658-4107-21,240,-7.827127992310568,-7.3373869666987055
C-187658-4107-22,240,-8.944174841431359,-7.3327326048273695
C-187658-4107-23,240,-9.155003270035008,-7.331854153041521
C-187658-4107-24,240,-8.984389633375418,-7.332565043194268
C-187658-4107-25,240,-8.53229590525184,-7.33444876706145
C-187658-4107-26,240,-8.387964004468149,-7.335050149981383
C-187658-4107-27,240,-11.22705867016511,-7.323220588874311
C-187658-4107-28,240,-8.962417774141828,-7.3326565926077425
C-187658-4107-29,240,-8.449323367099014,-7.334794485970421
C-187658-4107-3,240,-8.719705039557704,-7.333667895668509
C-187658-4107-30,240,-9.00877150410058,-7.332463452066247
C-187658-4107-31,240,-8.88520543064829,-7.332978310705632
C-187658-4107-32,240,-9.327978524393592,-7.331133422815027
C-187658-4107-33,240,-8.819071853211247,-7.3332538672782865
C-187658-4107-34,240,-7.984948265357635,-7.336729382227676
C-187658-4107-36,240,-8.554170316434751,-7.334357623681522
C-187658-4107-37,240,-8.643852759562296,-7.333983946835157
C-187658-4107-38,240,-7.799660169476546,-7.3375014159605145
C-187658-4107-39,240,-8.389305255267264,-7.335044561436386
C-187658-4107-4,240,-8.816911301047249,-7.33326286957897
C-187658-4107-41,240,-9.622859913084296,-7.329904750362148
C-187658-4107-42,240,-8.614919592992592,-7.3341045016958635
C-187658-4107-44,240,-8.984393589938888,-7.332565026708588
C-187658-4107-45,240,-8.973023114587876,-7.332612403689216
C-187658-4107-46,240,-9.171881030695541,-7.331783829038769
C-187658-4107-47,240,-8.552027621938812,-7.334366551575255
C-187658-4107-48,240,-8.81906241205871,-7.333253906616422
C-187658-4107-49,240,-11.13662427716492,-7.323597398845147
C-187658-4107-5,240,-8.620128264506842,-7.334082798897888
C-187658-4107-50,240,-11.13660219466026,-7.323597490855581
C-187658-4107-51,240,-8.466774182851115,-7.33472177423812
C-187658-4107-52,240,-8.649435204030976,-7.3339606866498706
C-187658-4107-53,240,-8.548168389108573,-7.334382631712048
C-187658-4107-54,240,-8.645082405897181,-7.333978823308761
C-187658-4107-55,240,-8.451118840428796,-7.334787004831546
C-187658-4107-56,240,-8.631426805028086,-7.334035721645717
C-187658-4107-57,240,-8.964130467696533,-7.332649456384598
C-187658-4107-58,240,-8.671111243492682,-7.33387036981878
C-187658-4107-59,240,-8.839712486987075,-7.333167864637554
C-187658-4107-6,240,-9.160629041671648,-7.331830712326368
C-187658-4107-60,240,-9.160704770390572,-7.331830396790039
C-187658-4107-61,240,-8.91931324681131,-7.332836194804953
C-187658-4107-62,240,-8.503310354016653,-7.334569540191597
C-187658-4107-64,240,-8.814554251520626,-7.3332726906186645
C-187658-4107-65,240,-8.345733684816203,-7.335226109646599
C-187658-4107-66,240,-8.55021945434805,-7.334374085606883
C-187658-4107-67,240,-8.511061912438091,-7.334537242031508
C-187658-4107-68,240,-8.644587181096282,-7.333980886745432
C-187658-4107-69,240,-8.56921267966947,-7.334294947168044
C-187658-4107-7,240,-9.130963943356845,-7.33195431690268
C-187658-4107-70,240,-9.298303006396122,-7.331257070806683
C-187658-4107-71,240,-8.905844658767748,-7.332892313921801
C-187658-4107-72,240,-8.9844097578723,-7.332564959342198
C-187658-4107-73,240,-8.73046498455408,-7.3336230625643575
C-187658-4107-74,240,-8.539936766393001,-7.334416930140028
C-187658-4107-75,240,-8.816641907348286,-7.333263992052716
C-187658-4107-76,240,-9.063670256582032,-7.332234707264241
C-187658-4107-77,240,-9.865136483470945,-7.328895264652204
C-187658-4107-78,240,-9.917140294026437,-7.328678582108223
C-187658-4107-79,240,-8.936070631544176,-7.332766372368566
C-187658-4107-8,240,-10.36181583961967,-7.326825767334919
C-187658-4107-81,240,-8.819052585116486,-7.333253947562015
C-187658-4107-83,240,-8.795909242765577,-7.333350378155143
C-187658-4107-84,240,-8.765854096129221,-7.333475607932795
C-187658-4107-85,240,-8.631273392022331,-7.334036360866573
C-187658-4107-86,240,-8.885168453104047,-7.332978464778733
C-187658-4107-87,240,-8.455781514382764,-7.334767577023404
C-187658-4107-88,240,-9.665120541111994,-7.329728664412033
C-187658-4107-89,240,-11.44754498949878,-7.3223018958770885
C-187658-4107-9,240,-8.94275800445522,-7.33273850831477
C-187658-4107-91,240,-8.93605047428108,-7.332766456357162
C-187658-4107-92,240,-8.752263638287848,-7.333532234840467
C-187658-4107-93,240,-11.13662067196368,-7.323597413866818
C-187658-4107-94,240,-9.671038833756052,-7.32970400485935
C-187658-4107-95,240,-9.940818279260709,-7.328579923836414
C-187658-4107-96,240,-8.620147509339802,-7.334082718711084
C-187658-4107-97,240,-8.373727702447594,-7.3351094679064675
C-187658-4107-98,240,-8.996487984846784,-7.332514633396472
C-187658-4107-99,240,-8.819842743246012,-7.3332506552364745
C-2158988-7926-291,60,-2.156822359958879,-7.334052960667352
C-2495266-1868-1,240,-8.391041631790165,-7.3350373265342075
C-2495266-1868-10,240,-8.984389562636116,-7.332565043489016
C-2495266-1868-100,240,-8.7202756904453,-7.333665517956478
C-2495266-1868-101,240,-9.37128492226112,-7.330952979490578
C-2495266-1868-102,240,-8.79050361932287,-7.333372901586155
C-2495266-1868-104,240,-9.125251633154207,-7.331978118195191
C-2495266-1868-105,240,-8.552251330288444,-7.334365619457131
C-2495266-1868-106,240,-8.342668494360378,-7.335238881273498
C-2495266-1868-108,240,-8.547385086750952,-7.334385895471871
C-2495266-1868-109,240,-8.20536839816584,-7.335810965007642
C-2495266-1868-11,240,-9.865164379336054,-7.328895148419433
C-2495266-1868-110,240,-9.665098239915228,-7.329728757333686
C-2495266-1868-111,240,-8.79051271324488,-7.333372863694813
C-2495266-1868-112,240,-9.106778792717432,-7.332055088363677
C-2495266-1868-113,240,-9.088108042748248,-7.332132883155215
C-2495266-1868-114,240,-9.009605329095566,-7.332459977795435
C-2495266-1868-115,240,-8.55949712298515,-7.334335428654228
C-2495266-1868-116,240,-8.372655988733468,-7.335113933380277
C-2495266-1868-118,240,-8.534201904096248,-7.334440825399598
C-2495266-1868-119,240,-8.349931413719315,-7.335208619109503
C-2495266-1868-12,240,-8.984385336528495,-7.332565061097798
C-2495266-1868-121,240,-8.658255703087999,-7.333923934570467
C-2495266-1868-122,240,-8.810106587096216,-7.333291222553766
C-2495266-1868-123,240,-8.62022928746884,-7.33408237796888
C-2495266-1868-124,240,-8.984389629297874,-7.332565043211259
C-2495266-1868-125,240,-9.298277839695173,-7.331257175667937
C-2495266-1868-126,240,-9.047208432009096,-7.332303298199962
C-2495266-1868-127,240,-8.940712394077845,-7.332747031691342
C-2495266-1868-128,240,-9.865180218687783,-7.328895082422134
C-2495266-1868-129,240,-8.910823082442388,-7.332871570489823
C-2495266-1868-13,240,-8.916490498717907,-7.332847956255342
C-2495266-1868-130,240,-8.54351817498977,-7.33440200760421
C-2495266-1868-131,240,-8.45357259416675,-7.334776780857639
C-2495266-1868-132,240,-9.171551900568655,-7.331785200414298
C-2495266-1868-133,240,-9.556177744807515,-7.330182592729969
C-2495266-1868-134,240,-8.812224775309629,-7.333282396769543
C-2495266-1868-136,240,-8.814909248412878,-7.333271211464946
C-2495266-1868-137,240,-9.586852570826625,-7.33005478095489
C-2495266-1868-139,240,-8.984379607335233,-7.332565084969436
C-2495266-1868-14,240,-8.485897844864327,-7.334642092313064
C-2495266-1868-140,240,-8.984374376169987,-7.332565106765958
C-2495266-1868-141,240,-8.817668562812514,-7.333259714321614
C-2495266-1868-142,240,-8.374111485258469,-7.335107868811423
C-2495266-1868-143,240,-8.205364554319125,-7.33581098102367
C-2495266-1868-145,240,-9.86514850808534,-7.328895214549644
C-2495266-1868-146,240,-8.554379054202904,-7.334356753940821
C-2495266-1868-147,240,-8.387964933979738,-7.335050146108418
C-2495266-1868-149,240,-9.940817842639293,-7.32857992565567
C-2495266-1868-15,240,-9.621476956286347,-7.329910512682139
C-2495266-1868-150,240,-8.957674093945975,-7.332676357941891
C-2495266-1868-152,240,-8.819071167641427,-7.333253870134827
C-2495266-1868-153,240,-9.865153620961868,-7.328895193245993
C-2495266-1868-154,240,-8.620143460836788,-7.334082735579846
C-2495266-1868-155,240,-9.599208560192418,-7.330003297665865
C-2495266-1868-156,240,-9.672182930218858,-7.329699237790754
C-2495266-1868-157,240,-9.155764055275789,-7.331850983103018
C-2495266-1868-158,240,-9.665109051916389,-7.329728712283681
C-2495266-1868-159,240,-8.73461836834097,-7.333605756798579
C-2495266-1868-16,240,-8.373718075259015,-7.335109508019754
C-2495266-1868-161,240,-8.733529425118478,-7.333610294062007
C-2495266-1868-162,240,-8.810533048234392,-7.3332894456323565
C-2495266-1868-163,240,-9.071808735121243,-7.332200796936994
C-2495266-1868-164,240,-8.490501625087452,-7.334622909895469
C-2495266-1868-165,240,-8.975642046379809,-7.332601491473417
C-2495266-1868-166,240,-8.622894505707816,-7.334071272892884
C-2495266-1868-167,240,-8.790506139510544,-7.333372891085372
C-2495266-1868-168,240,-8.936074849158857,-7.332766354795171
C-2495266-1868-169,240,-8.262270191332846,-7.33557387420278
C-2495266-1868-170,240,-8.819577262758338,-7.333251761405174
C-2495266-1868-171,240,-8.620160497481745,-7.334082664593826
C-2495266-1868-172,240,-8.984377917604437,-7.332565092009982
C-2495266-1868-173,240,-8.5441659547703,-7.334399308521791
C-2495266-1868-174,240,-8.55311046572502,-7.3343620397261455
C-2495266-1868-175,240,-10.17346193144346,-7.327610575285652
C-2495266-1868-176,240,-8.620161854848574,-7.33408265893813
C-2495266-1868-179,240,-9.91274813082595,-7.328696882788225
C-2495266-1868-18,240,-9.0389770255412,-7.332337595726911
C-2495266-1868-180,240,-8.749996416822805,-7.3335416815965715
C-2495266-1868-181,240,-8.455790862697349,-7.334767538072095
C-2495266-1868-182,240,-9.151626290591317,-7.331868223789202
C-2495266-1868-183,240,-7.242145184929318,-7.339824395062794
C-2495266-1868-184,240,-8.455746264139993,-7.334767723899416
C-2495266-1868-185,240,-11.13004898851573,-7.323624795881185
C-2495266-1868-186,240,-8.756158224515083,-7.333516007397853
C-2495266-1868-187,240,-8.972173370814417,-7.332615944288273
C-2495266-1868-188,240,-8.270506844384274,-7.335539554815066
C-2495266-1868-189,240,-8.399538624144146,-7.3350019223994
C-2495266-1868-19,240,-8.81223936181996,-7.333282335992417
C-2495266-1868-191,240,-8.812203521099255,-7.333282485328753
C-2495266-1868-192,240,-8.534191000399368,-7.334440870831669
C-2495266-1868-193,240,-8.776846231492618,-7.333429807368781
C-2495266-1868-194,240,-8.81935069195685,-7.33325270545018
C-2495266-1868-195,240,-8.360160123410358,-7.33516599948579
C-2495266-1868-196,240,-8.346172854205863,-7.335224279774142
C-2495266-1868-197,240,-8.81679640177738,-7.333263348325928
C-2495266-1868-199,240,-8.535479499253157,-7.334435502086445
C-2495266-1868-2,240,-8.455761627171434,-7.3347676598867855
C-2495266-1868-20,240,-8.738382942334727,-7.333590071073605
C-2495266-1868-200,240,-11.13661433676059,-7.323597440263497
C-2495266-1868-201,240,-8.865449148863485,-7.333060628546402
C-2495266-1868-202,240,-8.984383661808664,-7.332565068075797
C-2495266-1868-203,240,-8.977795856281881,-7.332592517265493
C-2495266-1868-204,240,-8.362676833956641,-7.3351555131918476
C-2495266-1868-205,240,-11.40643888300635,-7.322473171320807
C-2495266-1868-206,240,-8.72399258259145,-7.333650030905869
C-2495266-1868-207,240,-8.360408410357001,-7.335164964956846
C-2495266-1868-208,240,-8.969324445208148,-7.332627814811632
C-2495266-1868-209,240,-9.865163267862169,-7.328895153050573
C-2495266-1868-21,240,-8.984393004607263,-7.33256502914747
C-2495266-1868-210,240,-9.078290366682573,-7.332173790138823
C-2495266-1868-211,240,-8.035378926880034,-7.336519254471333
C-2495266-1868-212,240,-8.389818665469084,-7.335042422227212
C-2495266-1868-213,240,-8.984383496512834,-7.332565068764529
C-2495266-1868-214,240,-10.71840284761602,-7.325339988134933
C-2495266-1868-215,240,-11.0801244502193,-7.3238328147907525
C-2495266-1868-217,240,-8.366833219297297,-7.335138194919594
C-2495266-1868-218,240,-15.71426859664114,-7.304523880847328
C-2495266-1868-219,240,-8.975629036284316,-7.332601545682149
C-2495266-1868-22,240,-8.620158978022108,-7.334082670924908
C-2495266-1868-220,240,-8.984400706766351,-7.33256499705514
C-2495266-1868-221,240,-8.55218774753597,-7.334365884385266
C-2495266-1868-222,240,-8.632302187827673,-7.334032074217385
C-2495266-1868-223,240,-8.536952026607564,-7.334429366555801
C-2495266-1868-224,240,-9.6984550500935,-7.32958977062461
C-2495266-1868-225,240,-8.544737298929837,-7.334396927921125
C-2495266-1868-226,240,-8.924808709347172,-7.332813297044386
C-2495266-1868-227,240,-8.819782676201479,-7.333250905515827
