2.5452466	-0.082128234	8.879979
7.6352363	10.270123	1.0916792
2.6006825	-6.6652803	8.985308
8.815045	23.144922	-6.6565714
-4.619627	-5.822333	-5.473824
-2.754408	-1.209171	-7.4777775
3.3370461	-13.065594	4.7800264
1.6803286	-6.1700096	5.353757
7.4984975	19.536179	-0.69982344
9.218114	9.718385	-5.4992003
-7.253778	-6.4460783	-0.70829
-8.064945	-4.9262953	6.3418145
2.0757372	-1.5145828	9.102267
-13.466881	0.25935596	6.1105275
-9.949543	7.318672	3.8158135
-3.747463	2.7060077	-1.8272313
-8.350984	-1.0361538	13.538868
-0.7966537	-6.816083	12.760685
-6.8687997	-2.091674	3.6724384
-12.737406	-4.0010195	-0.4278133
9.4911375	-5.299885	-5.9354334
-11.465275	-10.075467	-1.936654
1.2901659	2.962021	6.7168546
-8.274087	3.5427282	-6.0848403
6.97554	19.083073	-6.8507047
0.50331485	-2.732507	-2.5305626
-7.768148	5.437915	-0.5647139
1.9850706	-1.8155545	-2.2459753
0.33659345	5.0350103	2.02274
-4.7096744	-0.2577285	-11.324683
-9.18254	-3.8341978	-8.540332
6.582661	-10.1865015	0.06877838
-0.511723	1.1708341	-4.755406
-11.383968	-2.9089813	-5.9075284
-1.2994387	-13.156914	-2.256391
3.3132443	15.795264	-1.2513963
3.724209	-0.15369506	3.2629664
1.9388864	19.216288	-5.224533
0.07577264	12.621477	-8.115011
5.4778414	3.4159853	8.324471
8.63377	21.327	-2.9235325
-3.3428388	-9.283822	1.1527872
2.459117	2.5449746	2.5326147
2.159971	5.4313717	2.4853156
-8.641566	8.265946	2.1545496
4.9768505	14.77602	-4.644527
-5.4827614	-3.4954712	1.6758211
9.558458	21.465166	-6.8620434
3.0179658	-2.091367	9.771483
-11.281418	2.9559343	2.5186284
-2.6420608	-8.600152	-4.1088014
-3.093408	6.5959325	9.771402
-5.4105372	-2.39328	13.5394745
7.4385424	2.4642763	3.6238782
7.3273153	23.648571	-2.6263688
8.813813	2.4394197	7.8770466
-5.730702	0.76883906	-3.9574976
-3.352931	4.2721243	9.836066
1.6356432	-0.6938862	10.414258
8.805965	5.536591	-5.9601064
-11.785618	-9.286073	-1.6671909
1.4755974	6.0368733	8.22442
-10.097025	-2.4086738	-4.2179403
-9.867839	0.13886528	8.226089
0.5970344	-9.964129	-8.278592
1.324487	-13.938814	-3.015858
5.635887	16.074192	-6.359279
9.0686865	21.834623	-6.4288993
11.515151	13.697759	-3.9939663
-2.5072336	3.8361683	1.6534666
-1.4425999	-9.459718	-7.8244824
1.2100186	-14.788561	-3.3107314
-0.9108396	-1.7149585	-0.08977668
10.905242	6.26598	-7.72277
-13.302338	7.7933645	2.2933075
-0.41262797	-11.708917	2.035703
-5.8532524	-11.777579	-3.227968
-3.0363462	-1.673414	2.75605
-2.7884252	-10.008358	-7.429347
-14.146423	-1.2921385	-1.266828
-1.5486717	2.1210067	-10.849857
7.0562997	2.070202	5.3779144
2.7724538	-9.747063	8.024374
-8.631765	-6.3246784	9.442789
5.154992	14.951326	-5.166835
-4.329825	-0.22639647	-4.292023
9.284634	-1.7947196	-1.1469862
4.1537905	-1.5065817	4.185756
-2.0730567	5.366957	9.520863
3.844111	-5.0693827	-8.001426
-5.84476	-8.83864	-4.2210994
10.353874	-2.5007174	1.6151553
-8.772656	-5.8583317	9.325061
-1.4539388	1.3192298	9.911696
-4.8104177	-1.6543374	6.3982687
2.7566578	12.016276	1.7667472
2.6767519	-1.7223567	-0.4261761
5.8412004	3.8828478	7.382451
-2.6156695	-6.1115727	12.695443
-4.8761683	-5.025048	10.553158
-10.5489855	-2.8987498	-8.185883
-5.322231	0.30838278	-10.321361
-7.414901	-7.3322425	5.0887704
-4.450889	3.4413397	-1.8108697
1.7447193	6.29156	7.2101088
0.61611956	-10.360511	-10.313028
3.408113	-15.170634	-0.13729945
5.141512	6.0020785	7.977452
1.0244966	-2.0984204	-8.366197
-5.524208	-10.441153	0.6047232
-10.992737	6.6406255	-1.907415
3.773296	4.722462	-1.5291377
5.710776	11.885825	-9.027629
14.36464	10.337256	-6.106174
-1.8386168	-1.9942423	0.96116513
-1.6508472	-6.921905	12.247257
-3.9520428	-6.8475285	0.2891184
-6.654866	5.2467346	-5.3434367
-0.14474408	-13.985023	-1.3155525
8.606731	8.177729	-8.742612
7.453374	-2.985986	0.47390488
-7.5907617	-2.1559274	-5.6711044
6.7260256	-7.312057	-2.3985856
-2.661277	13.438333	-5.48308
5.5545173	-1.6160195	-5.7052827
7.0503983	-11.7359495	-2.7077599
-9.954794	-1.5913789	7.281156
-2.3175597	0.97214544	11.658062
-6.1575727	-14.255904	-3.9266524
6.0148406	19.001478	-7.3076777
-9.422566	6.959909	2.8886209
-1.5565624	0.15506269	-11.177593
-3.9324799	8.303574	7.727423
0.97180647	-2.6304727	-8.741056
-7.007221	-0.53310543	11.755145
2.3185167	-13.864145	0.37968388
-8.827013	-3.5864894	10.255217
-1.332466	2.3579128	-5.2897625
12.30473	12.914143	-4.5140696
-8.710164	0.9743758	-7.5504427
