cluster	n_atoms	BE_per_atom	E_cluster	BE_category	size_category	energy_category	stability_index	size_efficiency	structural_category	density_category	compactness	be_rank	size_rank	efficiency_rank
C-53965-5632-257	240	-7.333652396399509	-8.723424864117879	Very Low	Very Large	Medium E	0.17813671785853455	-1.3370873134098327	Linear	Low Density	10.625059190454051	3312.0	2616.0	3312.0
C-53965-5632-258	240	-7.335503260684729	-8.279217435664957	Very Low	Very Large	Medium E	0.12591444125385565	-1.3374247669760566	Spherical	Low Density	10.146804694898936	4976.0	2616.0	4975.0
C-53965-5632-259	240	-7.328895143117204	-9.865165651870992	Low	Very Large	Medium E	0.3123629811080116	-1.3362199607366176	Spherical	Low Density	10.150739172678431	655.0	2616.0	655.0
C-53965-5632-26	240	-7.32797210116732	-10.08669571984309	Low	Very Large	Medium E	0.3384066799407509	-1.3360516697385958	Linear	Low Density	10.589589313485012	509.0	2616.0	509.0
C-53965-5632-260	240	-7.3355032978299075	-8.279208520822111	Very Low	Very Large	Medium E	0.12591339319981892	-1.3374247737484457	Linear	Low Density	10.149154984481608	4998.0	2616.0	4997.0
C-53965-5632-261	240	-7.333243566720771	-8.821543987014845	Very Low	Very Large	Medium E	0.18967187834421376	-1.3370127747015277	Linear	Low Density	9.99713996969019	2571.0	2616.0	2571.0
C-53965-5632-263	240	-7.329888450294592	-9.626771929297774	Low	Very Large	Medium E	0.2843367435360731	-1.3364010626423826	Spherical	Low Density	10.583584272271615	880.0	2616.0	880.0
C-53965-5632-264	240	-7.334396993457845	-8.544721570117126	Very Low	Very Large	Medium E	0.15712785521530095	-1.3372230699505698	Linear	Low Density	10.535951255740011	4034.0	2616.0	4033.0
C-53965-5632-267	240	-7.333180009387386	-8.836797747027312	Very Low	Very Large	Medium E	0.19146515334056108	-1.3370011867915002	Intermediate	Low Density	10.106654339644928	2539.0	2616.0	2539.0
C-53965-5632-268	240	-7.335352165078758	-8.315480381098117	Very Low	Very Large	Medium E	0.13017761527032645	-1.3373972188994727	Linear	Low Density	10.267973691786045	4929.0	2616.0	4928.0
C-53965-5632-269	240	-7.334038277997264	-8.630813280656625	Very Low	Very Large	Medium E	0.16724903922345077	-1.3371576681745458	Intermediate	Low Density	10.20684242085016	3625.0	2616.0	3625.0
C-53965-5632-27	240	-7.333027473705388	-8.873406310706692	Very Low	Very Large	Medium E	0.19576895921166562	-1.3369733761571507	Intermediate	Low Density	10.252819716559873	2445.0	2616.0	2445.0
C-53965-5632-270	240	-7.332565049037568	-8.984388230983514	Low	Very Large	Medium E	0.20881630639135412	-1.3368890658949062	Spherical	Low Density	10.241858047753094	1769.0	2616.0	1769.0
C-53965-5632-271	240	-7.334622721994436	-8.490546721335237	Very Low	Very Large	Medium E	0.15075890738396783	-1.337264225263944	Intermediate	Low Density	10.63138746432045	4249.0	2616.0	4248.0
C-53965-5632-272	240	-7.33475803899841	-8.458070640381822	Very Low	Very Large	Medium E	0.14694092782314894	-1.3372888965517993	Spherical	Low Density	10.100347401507465	4355.0	2616.0	4354.0
C-53965-5632-273	240	-7.331913139007324	-9.140846638242198	Low	Very Large	Medium E	0.22720999748615517	-1.336770208252928	Intermediate	Low Density	10.074426896702864	1265.0	2616.0	1265.0
C-53965-5632-274	240	-7.336519214683671	-8.035388475919126	Very Low	Very Large	Medium E	0.0972492218890269	-1.337609997899145	Linear	Low Density	10.379184159794224	5120.0	2616.0	5119.0
C-53965-5632-276	240	-7.333906176026757	-8.66251775357819	Very Low	Very Large	Medium E	0.17097630637042707	-1.3371335830585227	Linear	Low Density	10.337626180885778	3465.0	2616.0	3465.0
C-53965-5632-28	240	-7.328922964921255	-9.858488418898764	Low	Very Large	Medium E	0.31157798679025916	-1.3362250332679053	Intermediate	Low Density	10.679792689145309	782.0	2616.0	782.0
C-53965-5632-280	240	-7.334784444447313	-8.45173333264485	Very Low	Very Large	Medium E	0.1461958960736613	-1.337293710850163	Spherical	Low Density	10.21492741206977	4466.0	2616.0	4465.0
C-53965-5632-281	240	-7.33513804328261	-8.366869612173552	Very Low	Very Large	Medium E	0.13621907803711142	-1.3373581797520357	Spherical	Low Density	10.202377420023836	4734.0	2616.0	4733.0
C-53965-5632-282	240	-7.333420632002418	-8.779048319419648	Very Low	Very Large	Medium E	0.18467596795301275	-1.3370450576253614	Linear	Low Density	10.341794334030562	3103.0	2616.0	3103.0
C-53965-5632-283	240	-7.332132860275832	-9.088113533800088	Low	Very Large	Medium E	0.22101054518076235	-1.3368102683082361	Linear	Low Density	10.084001091618301	1388.0	2616.0	1388.0
C-53965-5632-284	240	-7.332337644719329	-9.038965267360984	Low	Very Large	Medium E	0.21523253652932964	-1.3368476050494098	Linear	Low Density	10.402732485644602	1474.0	2616.0	1474.0
C-53965-5632-286	240	-7.328806276092636	-9.88649373776726	Low	Very Large	Medium E	0.314870370966393	-1.3362037583091357	Spherical	Low Density	10.203993545033951	599.0	2616.0	599.0
C-53965-5632-287	240	-7.328895154849601	-9.865162836095916	Low	Very Large	Medium E	0.31236265007752995	-1.3362199628756937	Spherical	Low Density	10.559630540200706	668.0	2616.0	668.0
C-53965-5632-288	240	-7.334402253947124	-8.543459052689876	Very Low	Very Large	Medium E	0.15697943011012735	-1.3372240290543147	Spherical	Low Density	10.333192054831187	4059.0	2616.0	4058.0
C-53965-5632-289	240	-7.328895143570489	-9.865165543082645	Low	Very Large	Medium E	0.3123629683185293	-1.3362199608192615	Intermediate	Low Density	10.366846881457553	656.0	2616.0	656.0
C-53965-5632-29	240	-7.335503288721738	-8.279210706782827	Very Low	Very Large	Medium E	0.12591365018750944	-1.3374247720878245	Intermediate	Low Density	10.27812871620552	4992.0	2616.0	4991.0
C-53965-5632-290	240	-7.32857991028371	-9.940821531909462	Low	Very Large	Medium E	0.32125729948512083	-1.336162486806896	Intermediate	Low Density	10.410730827251202	557.0	2616.0	557.0
C-53965-5632-291	240	-7.335109513877398	-8.373716669424516	Very Low	Very Large	Medium E	0.1370240373754431	-1.3373529782093792	Linear	Low Density	10.357254604478053	4663.0	2616.0	4662.0
C-53965-5632-292	240	-7.332565070473233	-8.984383086423923	Low	Very Large	Medium E	0.20881570158241614	-1.336889069803103	Intermediate	Low Density	10.147595223767668	1841.0	2616.0	1841.0
C-53965-5632-293	240	-7.334382686457002	-8.54815525031958	Very Low	Very Large	Medium E	0.15753152833242642	-1.337220461467336	Linear	Low Density	10.425935088274608	3965.0	2616.0	3964.0
C-53965-5632-294	240	-7.333617321231062	-8.731842904545172	Very Low	Very Large	Medium E	0.1791263664044723	-1.3370809184295132	Linear	Low Density	10.697755996911113	3253.0	2616.0	3253.0
C-53965-5632-295	240	-7.33527783792529	-8.333318897930463	Very Low	Very Large	Medium E	0.13227476155958307	-1.337383667412632	Spherical	Low Density	9.95326443467612	4898.0	2616.0	4897.0
C-53965-5632-296	240	-7.333944930244752	-8.653216741259572	Very Low	Very Large	Medium E	0.16988285316163243	-1.3371406488110866	Spherical	Low Density	10.029827404247847	3507.0	2616.0	3507.0
C-53965-5632-297	240	-7.323898693457666	-11.06431357015996	Medium	Very Large	Low E	0.45333818833701844	-1.3353089972642913	Intermediate	Low Density	10.623338210990761	292.0	2616.0	292.0
C-53965-5632-299	240	-7.3336136190907295	-8.732731418224756	Very Low	Very Large	Medium E	0.17923082257556747	-1.3370802434473072	Intermediate	Low Density	10.176928453941006	3250.0	2616.0	3250.0
C-53965-5632-3	240	-7.331960077287798	-9.129581450928578	Low	Very Large	Medium E	0.22588563033193781	-1.3367787661414048	Intermediate	Low Density	10.44095062662183	1291.0	2616.0	1291.0
C-53965-5632-30	240	-7.334622821223137	-8.490522906447067	Very Low	Very Large	Medium E	0.15075610763862599	-1.3372642433555346	Spherical	Low Density	10.269732959384825	4258.0	2616.0	4257.0
C-53965-5632-300	240	-7.334640976380684	-8.486165668635637	Very Low	Very Large	Medium E	0.15024385848735256	-1.337267553442994	Spherical	Low Density	10.262983766919136	4320.0	2616.0	4319.0
C-53965-5632-301	240	-7.333321950925864	-8.802731777792594	Very Low	Very Large	Medium E	0.18746026203474975	-1.3370270658787662	Spherical	Low Density	10.380310271013848	2953.0	2616.0	2953.0
C-53965-5632-302	240	-7.328895147217481	-9.865164667804429	Low	Very Large	Medium E	0.3123628654183714	-1.336219961484189	Spherical	Low Density	10.505113317214608	659.0	2616.0	659.0
C-53965-5632-303	240	-7.3352242189503185	-8.346187451923463	Very Low	Very Large	Medium E	0.1337876250172453	-1.3373738914855335	Linear	Low Density	10.483723569825152	4821.0	2616.0	4820.0
C-53965-5632-304	240	-7.323597341384133	-11.13663806780811	Medium	Very Large	Low E	0.46184086001592906	-1.335254054104647	Intermediate	Low Density	10.535648100437964	159.0	2616.0	159.0
C-53965-5632-307	240	-7.331570163940618	-9.223160654251702	Low	Very Large	Medium E	0.23688706508374688	-1.3367076762994454	Intermediate	Low Density	10.516173690320205	1135.0	2616.0	1135.0
C-53965-5632-308	240	-7.329949444592439	-9.612133297814536	Low	Very Large	Medium E	0.28261578478241656	-1.336412183254246	Linear	Low Density	10.342905708385134	895.0	2616.0	895.0
C-53965-5632-309	240	-7.3299047868369	-9.622851159143888	Low	Very Large	Medium E	0.2838758067521327	-1.3364040411559912	Spherical	Low Density	10.489501282456583	884.0	2616.0	884.0
C-53965-5632-31	240	-7.327610739367738	-10.17342255174298	Low	Very Large	Medium E	0.3486025306051313	-1.3359857854763408	Linear	Low Density	10.178580605381686	501.0	2616.0	501.0
