cluster	n_atoms	BE_per_atom	E_cluster	BE_category	size_category	energy_category	stability_index	size_efficiency	structural_category	density_category	compactness	be_rank	size_rank	efficiency_rank
C-169395-3151-1	240	-7.332564994854169	-8.984401234999243	Low	Very Large	Medium E	0.20881783518005648	-1.3368890560160722	Intermediate	Low Density	10.218741897819955	1582.0	2616.0	1582.0
C-169395-3151-10	240	-7.329931081139993	-9.616540526401668	Low	Very Large	Medium E	0.283133910990126	-1.3364088351900114	Linear	Low Density	10.35877267016199	888.0	2616.0	888.0
C-169395-3151-100	240	-7.333321960802908	-8.802729407301932	Very Low	Very Large	Medium E	0.1874599833531999	-1.3370270676795701	Intermediate	Low Density	10.186003059562976	2955.0	2616.0	2955.0
C-169395-3151-101	240	-7.323597424521298	-11.13661811488843	Medium	Very Large	Low E	0.46183851429450246	-1.3352540692623942	Intermediate	Low Density	10.000243753671226	188.0	2616.0	188.0
C-169395-3151-102	240	-7.332621701202482	-8.970791711404308	Low	Very Large	Medium E	0.20721786124869368	-1.3368993948397334	Intermediate	Low Density	10.380253157637055	2037.0	2616.0	2037.0
C-169395-3151-103	240	-7.332681771454497	-8.956374850920898	Low	Very Large	Medium E	0.20552297451850102	-1.3369103469775687	Intermediate	Low Density	10.380249472201882	2089.0	2616.0	2089.0
C-169395-3151-104	240	-7.332842428450179	-8.91781717195697	Low	Very Large	Medium E	0.20099002516398692	-1.3369396383073355	Spherical	Low Density	9.988552085079917	2364.0	2616.0	2364.0
C-169395-3151-105	240	-7.334081369741484	-8.62047126204369	Very Low	Very Large	Medium E	0.16603320238224897	-1.337165524754241	Intermediate	Low Density	10.16018486418679	3678.0	2616.0	3677.0
C-169395-3151-106	240	-7.322473232352282	-11.40642423545217	Medium	Very Large	Low E	0.4935576818617568	-1.3350491041228187	Linear	Low Density	10.433347849049195	98.0	2616.0	98.0
C-169395-3151-107	240	-7.32976701110846	-9.655917333969548	Low	Very Large	Medium E	0.287763159410792	-1.3363789215881914	Intermediate	Low Density	10.20877797477191	875.0	2616.0	875.0
C-169395-3151-109	240	-7.333132208616164	-8.848269932120436	Very Low	Very Large	Medium E	0.1928138557368231	-1.336992471651851	Spherical	Low Density	10.43197448860183	2518.0	2616.0	2518.0
C-169395-3151-11	240	-7.33512850216402	-8.369159480635227	Very Low	Very Large	Medium E	0.1364882814239398	-1.3373564401947275	Spherical	Low Density	10.432498707726714	4718.0	2616.0	4717.0
C-169395-3151-110	240	-7.333049703532577	-8.86807115218149	Very Low	Very Large	Medium E	0.19514174294648734	-1.3369774291471628	Intermediate	Low Density	10.274464680532269	2458.0	2616.0	2458.0
C-169395-3151-111	240	-7.334606450143618	-8.494451965531738	Very Low	Very Large	Medium E	0.15121801889261086	-1.3372612585450272	Spherical	Low Density	10.771383686812205	4246.0	2616.0	4245.0
C-169395-3151-112	240	-7.332565031919345	-8.984392339357212	Low	Very Large	Medium E	0.2088167893833012	-1.336889062773875	Linear	Low Density	10.72604550110255	1696.0	2616.0	1696.0
C-169395-3151-114	240	-7.332565042651379	-8.984389763669054	Low	Very Large	Medium E	0.20881648657814753	-1.3368890647305627	Intermediate	Low Density	10.454438629381757	1742.0	2616.0	1742.0
C-169395-3151-115	240	-7.331627572137711	-9.209382686949034	Low	Very Large	Medium E	0.2352672884356665	-1.3367181430856891	Spherical	Low Density	10.55804339658051	1142.0	2616.0	1142.0
C-169395-3151-116	240	-7.3330180010205215	-8.875679755074877	Very Low	Very Large	Medium E	0.19603623173577744	-1.3369716490768264	Spherical	Low Density	10.258591854015474	2443.0	2616.0	2443.0
C-169395-3151-117	240	-7.333906147532062	-8.662524592305026	Very Low	Very Large	Medium E	0.170977110350428	-1.3371335778633084	Spherical	Low Density	10.533759628035659	3464.0	2616.0	3464.0
C-169395-3151-118	240	-7.3339001601916065	-8.663961554014264	Very Low	Very Large	Medium E	0.17114604361684113	-1.3371324862384903	Spherical	Low Density	10.651636863086946	3457.0	2616.0	3457.0
C-169395-3151-12	240	-7.33329530976267	-8.80912565695914	Very Low	Very Large	Medium E	0.18821194448088202	-1.3370222086044647	Linear	Low Density	10.012213038592758	2881.0	2616.0	2881.0
C-169395-3151-120	240	-7.335116370188429	-8.372071154776929	Very Low	Very Large	Medium E	0.1368305860381138	-1.337354228266786	Spherical	Low Density	10.378373025605713	4700.0	2616.0	4699.0
C-169395-3151-121	240	-7.331449647104284	-9.252084694971783	Low	Very Large	Medium E	0.2402874567887422	-1.3366857034100579	Linear	Low Density	10.31297109428485	1112.0	2616.0	1112.0
C-169395-3151-122	240	-7.332079844706149	-9.100837270524208	Low	Very Large	Medium E	0.2225063835123357	-1.3368006023952903	Linear	Low Density	10.654579172491037	1344.0	2616.0	1344.0
C-169395-3151-123	240	-7.322236700480059	-11.46319188478579	Medium	Very Large	Low E	0.5002314466297514	-1.3350059791220044	Linear	Low Density	10.450363321182142	65.0	2616.0	65.0
C-169395-3151-124	240	-7.334371571371137	-8.550822870927076	Very Low	Very Large	Medium E	0.15784514132564487	-1.337218434940921	Intermediate	Low Density	10.30336481567103	3916.0	2616.0	3915.0
C-169395-3151-125	240	-7.33478988870539	-8.450426710706415	Very Low	Very Large	Medium E	0.14604228591786134	-1.3372947034590315	Linear	Low Density	10.590227212196616	4478.0	2616.0	4477.0
C-169395-3151-126	240	-7.334364761799507	-8.552457168118266	Very Low	Very Large	Medium E	0.15803727390720018	-1.3372171934051427	Linear	Low Density	10.245136627846671	3896.0	2616.0	3895.0
C-169395-3151-127	240	-7.334622785634932	-8.490531447616323	Very Low	Very Large	Medium E	0.15075711176254497	-1.3372642368670162	Linear	Low Density	10.463178431986735	4254.0	2616.0	4253.0
C-169395-3151-128	240	-7.335610904168386	-8.253382999587375	Very Low	Very Large	Medium E	0.1228772721739116	-1.3374443927680344	Linear	Low Density	10.39318582444623	5034.0	2616.0	5033.0
C-169395-3151-129	240	-7.337026421112697	-7.913658932952611	Very Low	Very Large	Medium E	0.08293835391031773	-1.3377024728686244	Intermediate	Low Density	10.46342200871653	5178.0	2616.0	5177.0
C-169395-3151-13	240	-7.333259766977503	-8.817655925399347	Very Low	Very Large	Medium E	0.18921478686815954	-1.3370157283672566	Intermediate	Low Density	9.932114342164272	2735.0	2616.0	2735.0
C-169395-3151-130	240	-7.333271813378962	-8.81476478904903	Very Low	Very Large	Medium E	0.18887489673459837	-1.337017924693138	Intermediate	Low Density	10.330955844477588	2808.0	2616.0	2808.0
C-169395-3151-132	240	-7.335784374475263	-8.21175012593678	Very Low	Very Large	Medium E	0.11798279426932852	-1.3374760202483187	Spherical	Low Density	10.568476309438266	5054.0	2616.0	5053.0
C-169395-3151-133	240	-7.332629892096981	-8.968825896724518	Low	Very Large	Medium E	0.206986754537324	-1.336900888221275	Spherical	Low Density	10.148346613907934	2045.0	2616.0	2045.0
C-169395-3151-135	240	-7.327088403917368	-10.29878305983168	Low	Very Large	Low E	0.36334026507192113	-1.3358905521510775	Spherical	Low Density	10.606573004927752	437.0	2616.0	437.0
C-169395-3151-137	240	-7.334493848605325	-8.521476334721894	Very Low	Very Large	Medium E	0.15439507986127923	-1.3372407287898405	Linear	Low Density	10.281749110920929	4212.0	2616.0	4211.0
C-169395-3151-14	240	-7.323597432932169	-11.13661609627964	Medium	Very Large	Low E	0.4618382769811343	-1.3352540707958822	Spherical	Low Density	10.782608453833534	193.0	2616.0	193.0
C-169395-3151-140	240	-7.329991110217097	-9.602133547896496	Low	Very Large	Medium E	0.2814401860131429	-1.3364197798207484	Linear	Low Density	10.631791059376539	924.0	2616.0	924.0
C-169395-3151-141	240	-7.332679102842226	-8.957015317865638	Low	Very Large	Medium E	0.20559826961672345	-1.336909860430427	Linear	Low Density	10.284393169384611	2087.0	2616.0	2087.0
C-169395-3151-142	240	-7.323836721614964	-11.07918681240864	Medium	Very Large	Low E	0.45508672859311716	-1.3352976984243428	Intermediate	Low Density	10.166418610276054	289.0	2616.0	289.0
C-169395-3151-145	240	-7.332013633930475	-9.116727856685811	Low	Very Large	Medium E	0.2243745255846923	-1.3367885307039449	Spherical	Low Density	10.290013651350868	1316.0	2616.0	1316.0
C-169395-3151-146	240	-7.334767699219457	-8.455752187330303	Very Low	Very Large	Medium E	0.14666836395144212	-1.3372906578241242	Linear	Low Density	10.353719317491297	4432.0	2616.0	4431.0
C-169395-3151-148	240	-7.334737562326869	-8.462985041551368	Very Low	Very Large	Medium E	0.1475186786683486	-1.3372851632009042	Linear	Low Density	10.395303852776811	4348.0	2616.0	4347.0
C-169395-3151-149	240	-7.334378599926029	-8.549136017753009	Very Low	Very Large	Medium E	0.15764683011470107	-1.3372197164022	Linear	Low Density	10.667311881604569	3943.0	2616.0	3942.0
C-169395-3151-15	240	-7.327610678992165	-10.17343704188027	Low	Very Large	Medium E	0.3486042341065159	-1.3359857744685362	Spherical	Low Density	10.490437585119944	497.0	2616.0	497.0
C-169395-3151-150	240	-7.336241059270809	-8.102145775005708	Very Low	Very Large	Medium E	0.10509739802249943	-1.337559284004677	Intermediate	Low Density	10.43134448664158	5103.0	2616.0	5102.0
C-169395-3151-151	240	-7.323597449702158	-11.13661207148231	Medium	Very Large	Low E	0.46183780381462025	-1.3352540738534229	Linear	Low Density	10.098264023312323	207.0	2616.0	207.0
C-169395-3151-152	240	-7.333321949785619	-8.802732051451354	Very Low	Very Large	Medium E	0.1874602942068557	-1.337027065670874	Intermediate	Low Density	10.25215639048425	2951.0	2616.0	2951.0
C-169395-3151-153	240	-7.333642999199589	-8.725680192098574	Very Low	Very Large	Medium E	0.17840186056911944	-1.3370856000920868	Intermediate	Low Density	10.735190581153558	3293.0	2616.0	3293.0
C-169395-3151-155	240	-7.332681073103223	-8.956542455226252	Low	Very Large	Medium E	0.20554267855281272	-1.3369102196526592	Intermediate	Low Density	10.256435651195071	2088.0	2616.0	2088.0
C-169395-3151-157	240	-7.336131045580329	-8.128549060721042	Very Low	Very Large	Medium E	0.10820144266825318	-1.337539226071482	Linear	Low Density	10.414244388890573	5099.0	2616.0	5098.0
C-169395-3151-158	240	-7.332565080352086	-8.984380715499327	Low	Very Large	Medium E	0.20881542284984408	-1.3368890716042368	Spherical	Low Density	10.480606061660904	1875.0	2616.0	1875.0
C-169395-3151-159	240	-7.338066542777418	-7.664029733419532	Very Low	Very Large	Medium E	0.05359124201707936	-1.3378921100926335	Linear	Low Density	10.193793260033452	5217.0	2616.0	5216.0
C-169395-3151-16	240	-7.321517948525502	-11.6356923538795	Medium	Very Large	Low E	0.5205110877037992	-1.3348749347163003	Spherical	Low Density	10.103816785464076	50.0	2616.0	50.0
C-169395-3151-160	240	-7.334069241439051	-8.623382054627543	Very Low	Very Large	Medium E	0.16637540335799686	-1.3371633134959977	Linear	Low Density	10.125069867828355	3645.0	2616.0	3644.0
C-169395-3151-161	240	-7.333883393184485	-8.667985635723326	Very Low	Very Large	Medium E	0.17161912599825488	-1.3371294292416087	Intermediate	Low Density	10.517877814785022	3444.0	2616.0	3444.0
C-169395-3151-162	240	-7.3345164267724865	-8.51605757460309	Very Low	Very Large	Medium E	0.1537580351572679	-1.337244845289947	Intermediate	Low Density	10.397129679618766	4215.0	2616.0	4214.0
C-169395-3151-163	240	-7.331744513834146	-9.18131667980482	Low	Very Large	Medium E	0.23196776957485518	-1.3367394641478643	Intermediate	Low Density	10.254862476454724	1154.0	2616.0	1154.0
C-169395-3151-164	240	-7.33005482273734	-9.58684254303825	Low	Very Large	Medium E	0.27964253240781606	-1.3364313960247785	Linear	Low Density	10.115624692015055	949.0	2616.0	949.0
C-169395-3151-165	240	-7.334535769324789	-8.511415362050593	Very Low	Very Large	Medium E	0.1532122835726568	-1.3372483718657777	Spherical	Low Density	10.435548052369505	4221.0	2616.0	4220.0
C-169395-3151-166	240	-7.332978407941008	-8.885182094158116	Very Low	Very Large	Medium E	0.19715335348614133	-1.3369644303812223	Linear	Low Density	10.369378614683054	2418.0	2616.0	2418.0
C-169395-3151-167	240	-7.333936821223714	-8.655162906308423	Very Low	Very Large	Medium E	0.1701116498070746	-1.3371391703568911	Spherical	Low Density	10.579802915695076	3500.0	2616.0	3500.0
C-169395-3151-168	240	-7.334365301343452	-8.552327677571379	Very Low	Very Large	Medium E	0.15802205063373362	-1.337217291775958	Spherical	Low Density	10.600801875079714	3901.0	2616.0	3900.0
C-169395-3151-17	240	-7.335810881855699	-8.205388354632067	Very Low	Very Large	Medium E	0.11723488651387091	-1.3374808531310594	Intermediate	Low Density	10.150496768158952	5062.0	2616.0	5061.0
C-169395-3151-19	240	-7.333253980976225	-8.81904456570593	Very Low	Very Large	Medium E	0.18937803933436823	-1.337014673451031	Spherical	Low Density	10.035114499882791	2705.0	2616.0	2705.0
C-169395-3151-2	240	-7.325748332570502	-10.62040018307953	Medium	Very Large	Low E	0.401150480064379	-1.335646227454445	Intermediate	Low Density	10.34398267166525	340.0	2616.0	340.0
C-169395-3151-20	240	-7.3235974407302225	-11.13661422474671	Medium	Very Large	Low E	0.46183805695845426	-1.3352540722176403	Intermediate	Low Density	10.10966180738987	203.0	2616.0	203.0
C-169395-3151-22	240	-7.328726255105863	-9.905698774592754	Low	Very Large	Medium E	0.3171281691954691	-1.3361891687103333	Spherical	Low Density	10.248212522992725	585.0	2616.0	585.0
C-169395-3151-23	240	-7.333560176589601	-8.745557618495786	Very Low	Very Large	Medium E	0.18073870681033474	-1.3370704996953005	Linear	Low Density	10.473333492147242	3186.0	2616.0	3186.0
C-169395-3151-24	240	-7.33436394443695	-8.552653335131861	Very Low	Very Large	Medium E	0.158060335853929	-1.3372170443818394	Intermediate	Low Density	10.248265127989516	3895.0	2616.0	3894.0
C-169395-3151-25	240	-7.334071257019129	-8.62289831540888	Very Low	Very Large	Medium E	0.16631853361277016	-1.3371636809809024	Spherical	Low Density	9.997118180528794	3652.0	2616.0	3651.0
C-169395-3151-26	240	-7.3345935502438975	-8.497547941464536	Very Low	Very Large	Medium E	0.1515819905445439	-1.337258906607503	Intermediate	Low Density	10.335923073674651	4243.0	2616.0	4242.0
C-169395-3151-27	240	-7.328895129429366	-9.865168936952204	Low	Very Large	Medium E	0.31236336731138875	-1.3362199582410217	Linear	Low Density	9.991581299610237	638.0	2616.0	638.0
C-169395-3151-28	240	-7.330433103243086	-9.496055221659176	Low	Very Large	Medium E	0.2689693191619934	-1.3365003649420115	Intermediate	Medium Density	10.944896877942744	996.0	2616.0	996.0
C-169395-3151-29	240	-7.333372900024227	-8.790503994185517	Very Low	Very Large	Medium E	0.1860227293486768	-1.337036355028206	Spherical	Low Density	10.14848445096818	3025.0	2616.0	3025.0
C-169395-3151-3	240	-7.333251484574419	-8.81964370213929	Very Low	Very Large	Medium E	0.18944847550120794	-1.3370142183016727	Spherical	Low Density	10.308647959262112	2624.0	2616.0	2624.0
C-169395-3151-30	240	-7.333892218499945	-8.665867560013222	Very Low	Very Large	Medium E	0.17137011905120678	-1.3371310382921473	Intermediate	Low Density	10.39483192427734	3453.0	2616.0	3453.0
C-169395-3151-31	240	-7.334385493661488	-8.547481521242755	Very Low	Very Large	Medium E	0.15745232284431387	-1.337220973282909	Intermediate	Low Density	10.30760448697264	3985.0	2616.0	3984.0
C-169395-3151-32	240	-7.3343638690071185	-8.55267143829165	Very Low	Very Large	Medium E	0.1580624641123563	-1.33721703062931	Spherical	Medium Density	10.78937028113701	3892.0	2616.0	3891.0
C-169395-3151-33	240	-7.334032618911119	-8.632171461331327	Very Low	Very Large	Medium E	0.1674087107695128	-1.3371566363977612	Linear	Low Density	10.377003393646708	3600.0	2616.0	3600.0
C-169395-3151-35	240	-7.33516485721813	-8.360434267648673	Very Low	Very Large	Medium E	0.13546252080665175	-1.3373630685265603	Linear	Low Density	10.249202367750938	4769.0	2616.0	4768.0
C-169395-3151-36	240	-7.333968155909038	-8.647642581830649	Very Low	Very Large	Medium E	0.16922753927700146	-1.3371448833642647	Spherical	Low Density	10.009656357355304	3531.0	2616.0	3531.0
C-169395-3151-37	240	-7.337702898980857	-7.751304244594053	Very Low	Very Large	Medium E	0.06385147939981431	-1.3378258097717701	Spherical	Low Density	10.444425552595929	5208.0	2616.0	5207.0
C-169395-3151-38	240	-7.327023411350938	-10.3143812757749	Low	Very Large	Low E	0.3651740352777962	-1.3358787025662673	Spherical	Low Density	10.510801626929466	431.0	2616.0	431.0
C-169395-3151-39	240	-7.333272623473238	-8.814570366422778	Very Low	Very Large	Medium E	0.18885203986297336	-1.3370180723912726	Intermediate	Low Density	10.440674074326736	2813.0	2616.0	2813.0
C-169395-3151-4	240	-7.332742247641866	-8.941860565952055	Low	Very Large	Medium E	0.20381663429139663	-1.3369213731264131	Linear	Low Density	10.12846218256129	2117.0	2616.0	2117.0
C-169395-3151-40	240	-7.333724277711795	-8.706173349169044	Very Low	Very Large	Medium E	0.17610858116428665	-1.3371004189656368	Intermediate	Low Density	10.255412925359462	3378.0	2616.0	3378.0
C-169395-3151-41	240	-7.334082694625885	-8.620153289787543	Very Low	Very Large	Medium E	0.16599582066808097	-1.3371657663100212	Linear	Low Density	10.447037449033898	3719.0	2616.0	3718.0
C-169395-3151-43	240	-7.334767595522753	-8.455777074539126	Very Low	Very Large	Medium E	0.14667128976182442	-1.3372906389179176	Linear	Low Density	10.215142045649861	4397.0	2616.0	4396.0
C-169395-3151-44	240	-7.331257099561977	-9.298296105125484	Low	Very Large	Medium E	0.24572020034222172	-1.336650597727087	Spherical	Low Density	10.306427767946444	1070.0	2616.0	1070.0
C-169395-3151-45	240	-7.331570129397559	-9.223168944585964	Low	Very Large	Medium E	0.23688803971878652	-1.3367076700014806	Linear	Low Density	10.117095869343599	1133.0	2616.0	1133.0
C-169395-3151-46	240	-7.337333642590327	-7.83992577832137	Very Low	Very Large	Medium E	0.07427007654834446	-1.3377584861506757	Spherical	Low Density	10.486360213517244	5186.0	2616.0	5185.0
C-169395-3151-47	240	-7.33193970320363	-9.134471231128908	Low	Very Large	Medium E	0.22646048666662202	-1.3367750514944605	Intermediate	Low Density	10.401286394651956	1277.0	2616.0	1277.0
C-169395-3151-48	240	-7.334056063688387	-8.626544714787062	Very Low	Very Large	Medium E	0.1667472145954271	-1.3371609109000906	Intermediate	Low Density	10.415832133976316	3635.0	2616.0	3634.0
C-169395-3151-49	240	-7.329847095200827	-9.63669715180153	Low	Very Large	Medium E	0.28550358065259085	-1.3363935226925419	Linear	Low Density	10.663755412538167	879.0	2616.0	879.0
C-169395-3151-50	240	-7.336098009461506	-8.136477729238623	Very Low	Very Large	Medium E	0.10913355927392984	-1.3375332028550853	Intermediate	Low Density	10.262567702398194	5089.0	2616.0	5088.0
C-169395-3151-52	240	-7.333629837643127	-8.728838965649562	Very Low	Very Large	Medium E	0.17877321488592143	-1.3370832004487412	Linear	Low Density	10.27026734293517	3270.0	2616.0	3270.0
C-169395-3151-53	240	-7.333372892901789	-8.790505703570604	Very Low	Very Large	Medium E	0.18602293030882483	-1.3370363537296277	Spherical	Low Density	10.326819391197322	3011.0	2616.0	3011.0
C-169395-3151-54	240	-7.334401973237331	-8.543526423040465	Very Low	Very Large	Medium E	0.15698735035827097	-1.3372239778747004	Spherical	Low Density	10.380350528019902	4057.0	2616.0	4056.0
C-169395-3151-55	240	-7.337816568416542	-7.724023580029693	Very Low	Very Large	Medium E	0.06064428762499885	-1.3378465342283115	Intermediate	Low Density	10.6523618673616	5210.0	2616.0	5209.0
C-169395-3151-56	240	-7.334417032105736	-8.53991229462337	Very Low	Very Large	Medium E	0.15656246324068865	-1.3372267234400488	Linear	Low Density	10.422286099217867	4116.0	2616.0	4115.0
C-169395-3151-57	240	-7.333770311377674	-8.695125269358147	Very Low	Very Large	Medium E	0.17480973777967623	-1.3371088119228307	Spherical	Low Density	10.404680141425768	3397.0	2616.0	3397.0
C-169395-3151-59	240	-7.332811356924744	-8.925274338061504	Low	Very Large	Medium E	0.2018667106177608	-1.3369339732798402	Intermediate	Low Density	10.509371068348889	2348.0	2616.0	2348.0
C-169395-3151-6	240	-7.333291203907506	-8.810111062198427	Very Low	Very Large	Medium E	0.18832779149667958	-1.3370214600161006	Linear	Low Density	10.363921672817664	2872.0	2616.0	2872.0
C-169395-3151-60	240	-7.339824436191553	-7.242135314027188	Very Low	Very Large	High E	0.003992145612463317	-1.3382126130092322	Intermediate	Low Density	10.23894039006787	5228.0	2616.0	5227.0
C-169395-3151-61	240	-7.334082712822926	-8.620148922497767	Very Low	Very Large	Medium E	0.1659953072372041	-1.3371657696277448	Spherical	Low Density	9.92515070508423	3728.0	2616.0	3727.0
C-169395-3151-62	240	-7.332565055080362	-8.98438678071315	Low	Very Large	Medium E	0.20881613589344172	-1.3368890669966416	Linear	Low Density	10.289305701579648	1789.0	2616.0	1789.0
C-169395-3151-63	240	-7.333251441655863	-8.819654002592863	Very Low	Very Large	Medium E	0.18944968645155033	-1.337014210476669	Linear	Low Density	10.271037586650849	2606.0	2616.0	2606.0
C-169395-3151-65	240	-7.332051721585417	-9.107586819499836	Low	Very Large	Medium E	0.22329987950313726	-1.3367954749272961	Spherical	Low Density	10.344525669025208	1329.0	2616.0	1329.0
C-169395-3151-66	240	-7.333658168388228	-8.722039586825112	Very Low	Very Large	Medium E	0.1779738607577472	-1.3370883657712582	Linear	Low Density	10.772711094698188	3334.0	2616.0	3334.0
C-169395-3151-67	240	-7.331804764620407	-9.166856491102113	Low	Very Large	Medium E	0.23026778905717205	-1.3367504492010924	Linear	Low Density	10.333850925425299	1183.0	2616.0	1183.0
C-169395-3151-68	240	-7.3288951676845455	-9.865159755709032	Low	Very Large	Medium E	0.3123622879385899	-1.3362199652157885	Intermediate	Low Density	10.314588421940037	690.0	2616.0	690.0
C-169395-3151-69	240	-7.327610704920951	-10.17343081897179	Low	Very Large	Medium E	0.34860350252384004	-1.3359857791959284	Spherical	Low Density	9.808120015538597	500.0	2616.0	500.0
C-169395-3151-7	240	-7.334811385019113	-8.445267595412812	Very Low	Very Large	Medium E	0.14543576579092443	-1.337298622713287	Intermediate	Low Density	10.370880133443892	4500.0	2616.0	4499.0
C-169395-3151-72	240	-7.333372859127206	-8.790513809470662	Very Low	Very Large	Medium E	0.18602388326125713	-1.337036347571773	Spherical	Low Density	10.26137704863672	2988.0	2616.0	2988.0
C-169395-3151-73	240	-7.332766413651508	-8.936060723638152	Low	Very Large	Medium E	0.20313478849100605	-1.3369257791253835	Spherical	Low Density	10.335675082009278	2256.0	2616.0	2256.0
C-169395-3151-75	240	-7.333277693365841	-8.813353592198043	Very Low	Very Large	Medium E	0.1887089924575182	-1.3370189967450206	Linear	Low Density	10.594360832759198	2835.0	2616.0	2835.0
C-169395-3151-76	240	-7.332565029329458	-8.984392960930148	Low	Very Large	Medium E	0.20881686245717165	-1.3368890623016811	Spherical	Low Density	10.08008989072284	1686.0	2616.0	1686.0
C-169395-3151-77	240	-7.326186131980435	-10.51532832469556	Low	Very Large	Low E	0.38879793640924265	-1.3357260479865891	Intermediate	Low Density	10.163519771267346	360.0	2616.0	360.0
C-169395-3151-78	240	-7.332565023068407	-8.984394463582335	Low	Very Large	Medium E	0.20881703911318342	-1.336889061160153	Linear	Low Density	10.15511255268664	1663.0	2616.0	1663.0
C-169395-3151-79	240	-7.333667843877345	-8.719717469437187	Very Low	Very Large	Medium E	0.1777008660962736	-1.3370901298272906	Intermediate	Low Density	10.534074805568808	3347.0	2616.0	3347.0
C-169395-3151-8	240	-7.333158776984405	-8.8418935237428	Very Low	Very Large	Medium E	0.1920642272058323	-1.3369973156540198	Linear	Low Density	10.025356954591171	2535.0	2616.0	2535.0
C-169395-3151-80	240	-7.330182591224356	-9.556178106154384	Low	Very Large	Medium E	0.2760375348271704	-1.3364546910507504	Linear	Low Density	10.649166750920942	974.0	2616.0	974.0
C-169395-3151-81	240	-7.33405818885393	-8.626034675056898	Very Low	Very Large	Medium E	0.16668725288799005	-1.3371612983648533	Linear	Low Density	10.199169109123092	3638.0	2616.0	3637.0
C-169395-3151-82	240	-7.332601492533789	-8.975641791890496	Low	Very Large	Medium E	0.20778805037316472	-1.3368957103516954	Intermediate	Low Density	9.863096971481275	1996.0	2616.0	1996.0
C-169395-3151-83	240	-7.333419475153028	-8.779325963273036	Very Low	Very Large	Medium E	0.1847086085465435	-1.337044846706087	Spherical	Low Density	10.552868326778519	3101.0	2616.0	3101.0
C-169395-3151-84	240	-7.331381486581036	-9.268443220551164	Low	Very Large	Medium E	0.2422106111372202	-1.3366732762365316	Intermediate	Low Density	10.455351825808629	1101.0	2616.0	1101.0
C-169395-3151-85	240	-7.335282166738084	-8.33227998285968	Very Low	Very Large	Medium E	0.13215262377729062	-1.337384456651112	Spherical	Low Density	10.305858222292185	4902.0	2616.0	4901.0
C-169395-3151-86	240	-7.324907206276658	-10.82227049360218	Medium	Very Large	Low E	0.4248829224305497	-1.3354928714954106	Linear	Low Density	10.441064384205927	321.0	2616.0	321.0
C-169395-3151-87	240	-7.33438138040055	-8.548468703867847	Very Low	Very Large	Medium E	0.15756837881458177	-1.3372202233443082	Linear	Low Density	10.684441606824086	3956.0	2616.0	3955.0
C-169395-3151-88	240	-7.3343845375275265	-8.547710993393597	Very Low	Very Large	Medium E	0.15747930023676715	-1.337220798958504	Linear	Low Density	10.312741817233887	3974.0	2616.0	3973.0
C-169395-3151-89	240	-7.335141960925323	-8.365929377922553	Very Low	Very Large	Medium E	0.1361085414499602	-1.3373588940251	Linear	Low Density	10.569545126878948	4743.0	2616.0	4742.0
C-169395-3151-9	240	-7.33324914602268	-8.820204954556655	Very Low	Very Large	Medium E	0.18951445791644278	-1.3370137919318785	Linear	Low Density	10.223774442442668	2579.0	2616.0	2579.0
C-169395-3151-90	240	-7.333245402144289	-8.821103485370413	Very Low	Very Large	Medium E	0.18962009173002914	-1.3370131093399	Spherical	Low Density	10.536395626382193	2572.0	2616.0	2572.0
C-169395-3151-91	240	-7.332565083294329	-8.984380009360837	Low	Very Large	Medium E	0.20881533983421197	-1.336889072140673	Spherical	Low Density	9.99464150632102	1886.0	2616.0	1886.0
C-169395-3151-92	240	-7.334795649026967	-8.449044233527953	Very Low	Very Large	Medium E	0.14587975800637076	-1.3372957536932784	Spherical	Low Density	10.504995518154951	4491.0	2616.0	4490.0
C-169395-3151-93	240	-7.333153889050294	-8.843066627929456	Very Low	Very Large	Medium E	0.19220214063859872	-1.3369964244753363	Linear	Low Density	10.400024226896592	2533.0	2616.0	2533.0
C-169395-3151-94	240	-7.329972512141308	-9.606597086086234	Low	Very Large	Medium E	0.2819649321363225	-1.3364163889794802	Spherical	Low Density	10.15028396848127	910.0	2616.0	910.0
C-169395-3151-96	240	-7.334379660901178	-8.548881383717069	Very Low	Very Large	Medium E	0.15761689462014805	-1.337219909841476	Linear	Low Density	10.608922106068652	3946.0	2616.0	3945.0
C-169395-3151-97	240	-7.323597484779469	-11.13660365292729	Medium	Very Large	Low E	0.4618368141056016	-1.3352540802487938	Linear	Low Density	10.277655116245237	228.0	2616.0	228.0
C-169395-3151-98	240	-7.333883340869117	-8.66799819141188	Very Low	Very Large	Medium E	0.17162060208034374	-1.337129419703358	Spherical	Low Density	10.045425643130221	3443.0	2616.0	3443.0
C-169395-3151-99	240	-7.335042457763089	-8.38981013685854	Very Low	Very Large	Medium E	0.13891603074168207	-1.3373407523940717	Intermediate	Low Density	10.697972042423842	4590.0	2616.0	4589.0
C-187658-4107-1	240	-7.3362990181349	-8.088235647623861	Very Low	Very Large	Medium E	0.10346208426317438	-1.337569851189715	Linear	Low Density	10.287088196951803	5105.0	2616.0	5104.0
C-187658-4107-10	240	-7.333262840805303	-8.816918206727198	Very Low	Very Large	Medium E	0.18912805858294499	-1.337016288794167	Intermediate	Low Density	10.270524997494816	2753.0	2616.0	2753.0
